iter	Logloss
0	0.684270052
1	0.675607328
2	0.6680282685
3	0.6600812644
4	0.6531419664
5	0.6457799651
6	0.6387633585
7	0.6322219546
8	0.6262173555
9	0.6201754417
10	0.6141147372
11	0.6083454075
12	0.6031911864
13	0.598748124
14	0.5936530701
15	0.5895937315
16	0.5848950085
17	0.5804727284
18	0.5763901436
19	0.5723977137
20	0.5685726762
21	0.5650571928
22	0.5617313132
23	0.5584759821
24	0.5555152769
25	0.5532271403
26	0.5500944021
27	0.5466845985
28	0.5438479791
29	0.5409649981
30	0.5385074559
31	0.536040402
32	0.5338642624
33	0.5317128684
34	0.529507421
35	0.5273108101
36	0.5253626504
37	0.5232984818
38	0.5213766166
39	0.5197738917
40	0.5181644617
41	0.5166325172
42	0.5149078468
43	0.5135258572
44	0.5121074652
45	0.5106884381
46	0.5092854038
47	0.5079175801
48	0.506628514
49	0.505744548
50	0.5046868678
51	0.5034557782
52	0.5023296841
53	0.5010200688
54	0.4999612559
55	0.4988151953
56	0.4979428066
57	0.4970919791
58	0.4962533554
59	0.4954307138
60	0.4944494184
61	0.493682376
62	0.4931605598
63	0.4922291849
64	0.4914012542
65	0.4906154335
66	0.4898012817
67	0.4890002235
68	0.4882701836
69	0.4876304933
70	0.4868803841
71	0.4863107426
72	0.4858418575
73	0.4852273416
74	0.4844821793
75	0.4838989933
76	0.4833087299
77	0.4828230486
78	0.482235528
79	0.4818502152
80	0.481254044
81	0.4807588849
82	0.4801562065
83	0.4795616995
84	0.4790848331
85	0.4787028657
86	0.4782623883
87	0.4778635579
88	0.4773281483
89	0.4768848743
90	0.4766452951
91	0.476303098
92	0.4759470216
93	0.4754844692
94	0.4751961966
95	0.4751195098
96	0.4747117072
97	0.4743694746
98	0.4740187506
99	0.4736370924
100	0.473362308
101	0.4730685104
102	0.4728295621
103	0.4725150476
104	0.4720843392
105	0.4717372878
106	0.471455543
107	0.471191742
108	0.4708544548
109	0.4705360015
110	0.4702289121
111	0.4699847667
112	0.4696569324
113	0.4693409963
114	0.4690254283
115	0.4687533716
116	0.4684764035
117	0.4681835856
118	0.4679991886
119	0.4677347511
120	0.467594353
121	0.4673813296
122	0.4671676797
123	0.4669916216
124	0.4668087283
125	0.4665824568
126	0.4662462909
127	0.4659930668
128	0.4657329822
129	0.4654845233
130	0.4653295577
131	0.4650794789
132	0.4649696794
133	0.4647902963
134	0.4646021163
135	0.4643543769
136	0.4642208014
137	0.4641330783
138	0.4638950523
139	0.4636450632
140	0.4633827614
141	0.4631622595
142	0.4630487055
143	0.4628069454
144	0.4625562446
145	0.4623768932
146	0.4621547626
147	0.4619582778
148	0.4618195444
149	0.4617072575
150	0.4615417814
151	0.4614057928
152	0.4613663342
153	0.4611794225
154	0.4610072716
155	0.4608821448
156	0.460631818
157	0.4604501742
158	0.4602178995
159	0.4600080456
160	0.4598323472
161	0.4596979695
162	0.4595187475
163	0.459398267
164	0.4592359826
165	0.4590597511
166	0.4589339422
167	0.458860731
168	0.4587288829
169	0.4586300729
170	0.4586223704
171	0.4584236119
172	0.4583010609
173	0.45811926
174	0.4579037664
175	0.457823528
176	0.4576519072
177	0.4574651909
178	0.457284859
179	0.4571057166
180	0.4569618955
181	0.4567441798
182	0.4565822324
183	0.4564117488
184	0.4562594203
185	0.4560832538
186	0.456068614
187	0.4560098646
188	0.4558913075
189	0.4556953237
190	0.4555789506
191	0.4554544745
192	0.4553389487
193	0.4551794851
194	0.455067003
195	0.4548417897
196	0.4547366199
197	0.4546500998
198	0.4545574242
199	0.4544627526
200	0.4543197175
201	0.454139212
202	0.453975793
203	0.4538927681
204	0.4537604149
205	0.4536185556
206	0.4534415148
207	0.4533725408
208	0.4532455071
209	0.4530755042
210	0.4529557023
211	0.4528399317
212	0.4527590974
213	0.4527048402
214	0.4526517888
215	0.4524717037
216	0.4523190357
217	0.4522012885
218	0.4520818703
219	0.4519902137
220	0.4518331102
221	0.4517337836
222	0.4516244785
223	0.4514992029
224	0.451392109
225	0.4512265716
226	0.4511173906
227	0.4510346512
228	0.4509629037
229	0.4508602167
230	0.4507041815
231	0.4505701061
232	0.4503767473
233	0.4502542082
234	0.4501602595
235	0.450047362
236	0.4499757026
237	0.4497830232
238	0.4497187135
239	0.4496028286
240	0.4494751607
241	0.4494701991
242	0.4493413227
243	0.4492281247
244	0.4490878308
245	0.4490506894
246	0.4489546627
247	0.4488194266
248	0.4487174839
249	0.448653582
250	0.4485607841
